run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,soft_drink,Body Fantasies Fragrance Mist Signature Kissing In The Rain 236 ml,0.236,l,1790,7584.75,,https://www.supermart.ng/products/body-fantasies-fragrance-mist-signature-kissing-in-the-rain-236-ml,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,beans_brown,Bold Bean Co Queen Butter Beans 570 g,0.57,kg,22405,39307.02,,https://www.supermart.ng/products/bold-bean-co-queen-butter-beans-570-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,beans_brown,Bold Bean Co Queen Cannellini Beans 570 g,0.57,kg,22405,39307.02,,https://www.supermart.ng/products/bold-bean-co-queen-cannellini-beans-570-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Bold Gel Laundry Detergent Lavender & Camomile 26 Washes 858 ml,858ml,l,36470,,,https://www.supermart.ng/products/bold-gel-laundry-detergent-lavender-camomile-26-washes-858-ml,ok_no_unit
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Bold Gel Laundry Detergent Lavender & Camomile 40 Washes 1.32 L,1.32l,l,48660,,,https://www.supermart.ng/products/bold-gel-laundry-detergent-lavender-camomile-40-washes-1-32-l,ok_no_unit
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Bold Laundry Detergent Liquid Pods Lavender & Camomile 70 Washes 1372 g,1.372,kg,72605,52919.1,,https://www.supermart.ng/products/bold-laundry-detergent-liquid-pods-lavender-camomile-70-washes-1372-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,spaghetti,Bonita Spaghetti 500 g x4,2,kg,1550,775,,https://www.supermart.ng/products/bonita-spaghetti-500-g-x4,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Bonus White Detergent 200 g,0.2,kg,100,500,,https://www.supermart.ng/products/bonus-white-detergent-200-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Bonus White Detergent 900 g,0.9,kg,535,594.44,,https://www.supermart.ng/products/bonus-white-detergent-900-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Boom Multi-Purpose Powder Detergent 400 g/450 g,0.4,kg,460,1150,,https://www.supermart.ng/products/boom-multi-purpose-powder-detergent-400-g450-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,detergent,Boom Multi-Purpose Powder Detergent 900 g/1 kg,0.9,kg,1005,1116.67,,https://www.supermart.ng/products/boom-multi-purpose-powder-detergent-900-g1-kg,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Booster Puppy Food Pate With Chicken & Lamb 400 g,0.4,kg,3740,9350,,https://www.supermart.ng/products/booster-puppy-food-pate-with-chicken-lamb-400-g,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Belle Toilet Tissue 2 Ply 12 Rolls,1,piece,6990,6990,,https://www.supermart.ng/products/boulos-rose-belle-toilet-tissue-2-ply-12-rolls,ok
Mon Aug 17 2026 00:00:00 GMT+0100 (West Africa Time),2026-08-17T06:27:53+01:00,NG,LA,city_online,food,supermart,A,toilet_roll,Boulos Rose Belle Toilet Tissue 2 Ply 4 Rolls,1,piece,465,465,,https://www.supermart.ng/products/boulos-rose-belle-toilet-tissue-2-ply-4-rolls,ok
