run_date,run_timestamp,country,state,geo_scope,category,site_or_source,source_tier,item_key,product_name_raw,pack_size,pack_unit,price_ngn,unit_price_ngn,n_reports,url_or_ref,scrape_status,spec_json,channel,transaction_basis,sku
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer BBQ Chicken Wings 400 g,0.4,kg,10900,27250,,https://www.supermart.ng/products/al-kabeer-bbq-chicken-wings-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,onions,Al Kabeer Beef Burger Onion 200 g,0.2,kg,5400,27000,,https://www.supermart.ng/products/al-kabeer-beef-burger-onion-200-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Al Kabeer Breaded Chicken Burger 400 g x8,400g x8,kg,12550,,,https://www.supermart.ng/products/al-kabeer-breaded-chicken-burger-400-g-x8,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Al Kabeer Breaded Chicken Fillets 330 g,330g,kg,10150,,,https://www.supermart.ng/products/al-kabeer-breaded-chicken-fillets-330-g,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Al Kabeer Breaded Chicken Fillets 450 g,450g,kg,12990,,,https://www.supermart.ng/products/al-kabeer-breaded-chicken-fillets-450-g,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Al Kabeer Breaded Fish Fillets 330 g,330g,kg,11150,,,https://www.supermart.ng/products/al-kabeer-breaded-fish-fillets-330-g,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,bread,Al Kabeer Breaded Shrimps 250 g,250g,kg,13950,,,https://www.supermart.ng/products/al-kabeer-breaded-shrimps-250-g,ok_no_unit,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken & Cheese Franks 350 g,0.35,kg,1790,5114.29,,https://www.supermart.ng/products/al-kabeer-chicken-cheese-franks-350-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken & Cheese Nuggets 400 g,0.4,kg,12500,31250,,https://www.supermart.ng/products/al-kabeer-chicken-cheese-nuggets-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken & Cheese Sticks 250 g x10,2.5,kg,7850,3140,,https://www.supermart.ng/products/al-kabeer-chicken-cheese-sticks-250-g-x10,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Biryani 400 g,0.4,kg,2500,6250,,https://www.supermart.ng/products/al-kabeer-chicken-biryani-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Burger 200 g x4,0.8,kg,5600,7000,,https://www.supermart.ng/products/al-kabeer-chicken-burger-200-g-x4,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Burger 400 g x8,3.2,kg,10550,3296.88,,https://www.supermart.ng/products/al-kabeer-chicken-burger-400-g-x8,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Cocktail Franks 300 g,0.3,kg,5200,17333.33,,https://www.supermart.ng/products/al-kabeer-chicken-cocktail-franks-300-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Franks 375 g,0.375,kg,4775,12733.33,,https://www.supermart.ng/products/al-kabeer-chicken-franks-375-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Fries 1000 g,1,kg,26300,26300,,https://www.supermart.ng/products/al-kabeer-chicken-fries-1000-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Jumbo Hot Dogs 400 g x5,2,kg,8010,4005,,https://www.supermart.ng/products/al-kabeer-chicken-jumbo-hot-dogs-400-g-x5,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Kibbeh 400 g,0.4,kg,13850,34625,,https://www.supermart.ng/products/al-kabeer-chicken-kibbeh-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Kofta 300 g x12,3.6,kg,2190,608.33,,https://www.supermart.ng/products/al-kabeer-chicken-kofta-300-g-x12,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Meat Balls 300 g,0.3,kg,8250,27500,,https://www.supermart.ng/products/al-kabeer-chicken-meat-balls-300-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Mince Cutlets 320 g,0.32,kg,8095,25296.88,,https://www.supermart.ng/products/al-kabeer-chicken-mince-cutlets-320-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken N Cheese Rings 300 g,0.3,kg,13350,44500,,https://www.supermart.ng/products/al-kabeer-chicken-n-cheese-rings-300-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Nuggets 270 g,0.27,kg,7300,27037.04,,https://www.supermart.ng/products/al-kabeer-chicken-nuggets-270-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Nuggets 400 g,0.4,kg,10800,27000,,https://www.supermart.ng/products/al-kabeer-chicken-nuggets-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Pop Corn 400 g,0.4,kg,17100,42750,,https://www.supermart.ng/products/al-kabeer-chicken-pop-corn-400-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Samosas 240 g,0.24,kg,8300,34583.33,,https://www.supermart.ng/products/al-kabeer-chicken-samosas-240-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Seekh Kabab 320 g x8,2.56,kg,9500,3710.94,,https://www.supermart.ng/products/al-kabeer-chicken-seekh-kabab-320-g-x8,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Chicken Spring Rolls 280 g x8,2.24,kg,9050,4040.18,,https://www.supermart.ng/products/al-kabeer-chicken-spring-rolls-280-g-x8,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Tandoori Chicken Nuggets 270 g,0.27,kg,7100,26296.3,,https://www.supermart.ng/products/al-kabeer-tandoori-chicken-nuggets-270-g,ok,,,,
Fri Sep 25 2026 00:00:00 GMT+0100 (West Africa Time),2026-09-25T06:27:53+01:00,NG,LA,city_online,food,supermart,A,chicken_frozen,Al Kabeer Tandoori Chicken Tikka 240 g,0.24,kg,7675,31979.17,,https://www.supermart.ng/products/al-kabeer-tandoori-chicken-tikka-240-g,ok,,,,
